site,year,month,day_frac_T4,day_frac_arh,logger,T4_mean,T4_absmax,T4_absmin,T4_meanmax,T4_meanmin,arh_sd,arh_cv,arh_med,arh_mean,arh_absmax,arh_absmin,T4_TDD,T4_GDD3,T4_GDD5,T4_FDD,T4_TDD_days,T4_GDD3_days,T4_GDD5_days,T4_FDD_days
11,2020,6,1,1,a,17.66,31.7,1.5,23.68,8.1,9.89,0.16,58.8,61.2,96.4,28.9,529.9,529.9,529.9,0,30,30,30,0
11,2020,7,1,1,a,15.83,29.7,4.4,21.36,8.85,8.99,0.12,73.3,75.2,97.4,30.2,490.82,490.82,490.82,0,31,31,31,0
11,2020,8,1,1,a,14.27,29.3,-0.4,20.4,7.32,5.1,0.06,78.4,78.6,97.8,44.3,442.23,442.23,442.23,0,31,31,31,0
11,2020,9,1,1,a,9.65,21.7,-3.4,14.9,4.27,6.21,0.07,87.5,87,98.5,45.3,289.62,289.62,285.52,0,30,30,29,0
11,2020,10,1,1,a,4.99,15.1,-4.6,7.12,2.89,3.01,0.03,94.8,94.5,100,67.9,161.2,151.15,147.84,-6.39,26,18,17,5
11,2020,11,0.13333333333333333,0.13333333333333333,a,4.05,9.3,-0.9,5.88,1.93,2.26,0.02,96.4,95.6,99.9,84.8,16.22,11.48,7.24,0,4,2,1,0
12,2019,9,0.5666666666666667,0.5666666666666667,a,4.03,11.6,-4.8,8.34,-0.4,6.53,0.07,89.3,87.4,99,54.5,68.63,60.34,52.97,-0.12,16,10,8,1
12,2019,10,0.8064516129032258,0.8064516129032258,a,2.03,9.5,-3,4.34,-0.16,4.45,0.05,98.1,96.3,100,62.1,52.83,40.97,28.34,-1.99,19,7,4,6
12,2019,12,0.0967741935483871,0.0967741935483871,a,-2.97,2.5,-12.6,0.97,-8,2.04,0.02,94,94.7,97.9,89.6,1.17,0,0,-10.08,1,0,0,2
12,2020,1,1,1,a,-3.37,3.9,-24.2,-1.08,-5.83,4.46,0.05,94.2,92.4,97.9,71.5,8.38,0,0,-112.87,9,0,0,22
12,2020,2,1,1,a,-4.92,3.3,-24.2,-1.94,-8.47,3.74,0.04,90.4,90.8,97.4,70,7.53,0,0,-150.3,8,0,0,21
12,2020,3,1,1,a,-2.83,9.1,-21.7,1.7,-8.74,12.52,0.16,76.7,76.8,96.1,32.5,20.34,10.37,0,-107.97,10,3,0,21
12,2020,4,1,1,a,0.15,11.9,-20.1,5.5,-5.96,8.61,0.12,69.9,70.3,94.9,29.1,32.89,15.63,0,-28.31,18,4,0,12
12,2020,5,1,1,a,7.28,23,-5.9,13.24,-0.5,12.82,0.21,57.9,60.2,94.6,21.5,225.57,214.21,174.52,0,31,26,17,0
12,2020,6,1,1,a,17.43,31.8,1.8,23.95,8.71,9.96,0.17,57.1,59.1,97.1,26.5,522.83,522.83,522.83,0,30,30,30,0
12,2020,7,1,1,a,15.13,28.6,5,20.22,9.17,10.36,0.13,76.7,77.9,100,30.5,469.02,469.02,469.02,0,31,31,31,0
12,2020,8,1,1,a,14.03,26.3,-0.6,19.55,7.95,5.82,0.07,79.9,80.2,100,41.4,434.8,434.8,434.8,0,31,31,31,0
12,2020,9,1,1,a,9.49,20.2,-3.1,13.76,5.05,6.97,0.08,91.1,89.6,100,46.2,284.59,284.59,280.4,0,30,30,29,0
12,2020,10,0.7419354838709677,0.7419354838709677,a,5.33,13.9,-4.4,7.34,3.31,3.28,0.03,97.5,96.8,100,72.6,127.14,121.37,118.08,-4.62,19,14,13,4
12,2020,12,0.3870967741935484,0.3870967741935484,a,-2.45,2.9,-9.2,-0.98,-3.94,1.73,0.02,98.2,98.2,100,93.9,3.89,0,0,-33.32,3,0,0,9
12,2021,1,1,1,a,-9.92,0.8,-33.3,-7.25,-12.9,4.36,0.05,96,94.7,100,82,0.53,0,0,-307.92,3,0,0,28
12,2021,2,1,1,a,-13.41,2.2,-33.5,-10.07,-17.3,3.91,0.04,91.6,91.1,100,78.9,0.87,0,0,-376.48,2,0,0,26
12,2021,3,1,1,a,-4.61,11.1,-35.8,0.29,-10.04,8.43,0.1,83.3,82.9,99.9,33.3,24.92,16.97,5.12,-167.72,11,4,1,20
12,2021,4,1,1,a,2.31,17.2,-7.8,7.54,-2.9,12.85,0.17,77,75.9,100,27.4,71.99,43.81,22.62,-2.55,25,9,4,5
12,2021,5,1,1,a,8.86,28.4,-7.7,14.03,2.99,15.51,0.21,72.8,72.5,100,29.3,274.73,269.82,248.79,0,31,26,21,0
12,2021,6,1,1,a,18.27,33.2,0.4,24.67,9.33,13.07,0.2,63.9,65.2,100,27.2,548.25,548.25,548.25,0,30,30,30,0
12,2021,7,0.03225806451612903,0.03225806451612903,a,12.05,12.1,12,12.1,12,NA,NA,79,79,79.7,78.3,12.05,12.05,12.05,0,1,1,1,0
13,2019,9,0.5666666666666667,0.5666666666666667,a,4.06,14,-7.5,9.74,-1.48,6.73,0.08,86.6,85.8,98.6,45.9,70.01,63.87,48.2,-1.06,16,11,7,1
13,2019,10,1,1,a,1.28,9.9,-6.7,4.07,-1.29,5.36,0.06,95.9,94.2,100,53.8,58.72,44.43,28.93,-19.06,20,8,4,11
13,2019,11,1,1,a,-3.33,5.6,-26.6,-0.72,-6.29,3.67,0.04,96.9,95.9,100,60,10.32,3.35,0,-110.34,7,1,0,23
13,2019,12,1,1,a,-3.17,2.7,-23.8,-1.19,-5.96,2.35,0.02,95.6,95.2,99.1,78.7,2.94,0,0,-101.21,4,0,0,27
13,2020,1,1,1,a,-3.58,4.3,-27.7,-1.02,-6.56,4.8,0.05,92.5,91.5,97.4,62.8,8.88,0,0,-119.75,8,0,0,23
13,2020,2,1,1,a,-4.99,4.8,-27.5,-0.47,-10.27,6.39,0.07,89.5,87.5,96.5,43.7,8.49,0,0,-153.12,8,0,0,21
13,2020,3,1,1,a,-2.78,13,-24.3,4.04,-11.01,10.53,0.14,74.5,73.3,95.2,28.3,25.32,12.22,0,-111.47,11,3,0,20
13,2020,4,1,1,a,0.45,18,-23.6,8.25,-8.28,7.19,0.11,67.5,68.3,94.3,26.5,43.62,21.72,5.59,-30.15,21,5,1,9
13,2020,5,1,1,a,7.49,26.9,-8.9,14.74,-2.06,11.2,0.18,59.5,61.2,94.5,23.6,232.04,221.78,191.52,0,31,27,20,0
13,2020,6,1,1,a,17.9,33.4,-0.1,25.53,7.35,9.03,0.15,57,59.3,94.6,27.7,536.93,536.93,536.93,0,30,30,30,0
13,2020,7,1,1,a,15.74,29.6,2.9,22.25,7.74,9.23,0.13,71.8,73.7,97,31,487.8,487.8,487.8,0,31,31,31,0
13,2020,8,1,1,a,14.21,30.7,-2.3,21.56,6.38,5.25,0.07,76,76.8,97.3,42.6,440.58,440.58,440.58,0,31,31,31,0
13,2020,9,1,1,a,9.59,22.6,-5,15.39,3.48,6.21,0.07,85.6,85,97.8,45.4,287.63,287.63,283.81,0,30,30,29,0
13,2020,10,1,1,a,4.98,16.5,-5,7.43,2.69,3.74,0.04,93.5,92.9,99.7,61.1,161.33,151.75,148.48,-6.83,27,18,17,4
13,2020,11,1,1,a,0.55,11,-14.2,2.87,-1.83,4.13,0.04,94.2,92.9,99.5,70.2,46.77,31.94,19.09,-30.12,18,6,3,12
13,2020,12,1,1,a,-3.39,3,-17.6,-1.48,-5.77,2.42,0.03,95.1,95.2,100,88.8,5.28,0,0,-110.22,4,0,0,27
13,2021,1,1,1,a,-10.22,0.8,-35.9,-7.14,-13.54,3.81,0.04,93,92.1,99.7,71,0.49,0,0,-317.3,3,0,0,28
13,2021,2,1,1,a,-13.38,3.3,-37.2,-7.25,-19.02,4.92,0.06,86,85.6,98.6,48.5,1.1,0,0,-375.76,2,0,0,26
13,2021,3,1,1,a,-4.59,15.6,-38.8,3.02,-12.38,8.37,0.11,78.8,78,98,22.6,27.43,19.44,5.96,-169.73,11,4,1,20
13,2021,4,1,1,a,2.67,23.9,-12.9,10.52,-5.07,10.32,0.14,71.4,72.3,96.4,18.9,83.27,55.65,31.88,-3.3,27,11,5,3
13,2021,5,0.3548387096774194,0.3548387096774194,a,3.58,15.6,-10.7,9.52,-3.05,13.82,0.21,60.1,65.5,97.4,27.7,39.54,35.11,27.35,-0.14,10,6,4,1
14,2019,9,0.5666666666666667,0.5666666666666667,a,3.96,12.9,-6.5,9.25,-1.44,6.31,0.07,87.6,86,98,49.7,68.18,63.23,47.8,-0.88,16,11,7,1
14,2019,10,1,1,a,1.36,9.9,-6.5,3.96,-1.05,4.4,0.05,94.1,92.9,99.6,56.5,59.83,44.98,34.32,-17.67,22,8,5,9
14,2019,11,1,1,a,-3.28,5.4,-25.5,-0.9,-6.12,3.39,0.04,96.5,95.7,100,71.8,10.84,3.32,0,-109.19,7,1,0,23
14,2019,12,1,1,a,-3.11,2.8,-24.8,-1.06,-5.89,2.26,0.02,96.8,96.4,99.8,80.8,3.45,0,0,-99.85,4,0,0,27
14,2020,1,1,1,a,-3.52,4.3,-27.7,-0.91,-6.6,3.95,0.04,94.1,93.3,98.8,68.1,9.72,0,0,-118.96,9,0,0,22
14,2020,2,1,1,a,-5.18,3.6,-28.3,-0.97,-10.46,5.12,0.06,91.8,89.7,97.8,53.9,9.36,0,0,-159.52,9,0,0,20
14,2020,3,1,1,a,-3.18,10.3,-25.7,3.06,-11.35,10.07,0.13,78.3,76.7,96.5,34.6,22.82,10.94,0,-121.29,10,3,0,21
14,2020,4,1,1,a,0.01,17.3,-24.2,7.38,-9.06,6.51,0.09,70.3,71.7,95.3,29.3,33.82,9.64,5.14,-33.62,19,2,1,11
14,2020,5,1,1,a,7.27,25.5,-9.1,13.54,-1.5,11.39,0.18,61.7,64,95.6,26.2,225.52,218.01,185.61,0,31,28,20,0
14,2020,6,1,1,a,17.53,32.9,0.1,24.45,6.96,8.92,0.14,59.5,62,96.1,29.6,525.97,525.97,525.97,0,30,30,30,0
14,2020,7,1,1,a,15.49,28.5,2.6,21.43,7.76,8.6,0.11,74.3,75.6,97.6,31.5,480.04,480.04,480.04,0,31,31,31,0
14,2020,8,1,1,a,14.01,28.2,-2,20.54,6.14,4.44,0.06,78.2,78.6,98,46.2,434.22,434.22,434.22,0,31,31,31,0
14,2020,9,1,1,a,9.5,20.5,-3.6,14.58,3.52,5.75,0.07,86.4,86.2,98.3,49,284.86,284.86,280.93,0,30,30,29,0
14,2020,10,1,1,a,5.05,15.4,-4.8,7.19,2.95,3.14,0.03,94,93.5,99.7,66.5,162.91,155.52,149,-6.48,27,19,17,4
14,2020,11,0.9333333333333333,0.9333333333333333,a,0.91,9.6,-12,3.03,-1.27,3.55,0.04,94.4,93.4,99.5,71.7,47.27,32.32,19.34,-21.82,18,6,3,10
14,2020,12,1,1,a,-3.26,3.1,-20.8,-1.49,-5.63,1.93,0.02,95.2,95.4,99.9,87.8,5.72,0,0,-106.87,6,0,0,25
14,2021,1,1,1,a,-10.07,0.8,-35.6,-7.03,-13.47,3.21,0.03,93.1,92.6,99.3,80.9,0.73,0,0,-312.82,3,0,0,28
14,2021,2,1,1,a,-13.7,3.5,-37.6,-8.81,-18.92,4.26,0.05,88.2,87.7,98.6,59.6,1.06,0,0,-384.68,2,0,0,26
14,2021,3,1,1,a,-5.2,16.7,-39.4,2.19,-12.76,7.84,0.1,80.8,79.9,98,26.4,24.61,17.58,5.12,-185.92,8,4,1,23
14,2021,4,1,1,a,2.5,24.9,-12.6,9.48,-4.71,10.03,0.14,73,73.6,96.5,19.8,77.58,53.57,26.9,-2.61,28,11,4,2
14,2021,5,0.3870967741935484,0.3870967741935484,a,4.45,23.5,-10.4,9.45,-1.38,9.77,0.15,64,66.6,97,32.4,53.38,49.04,38.42,-0.01,11,7,4,1
15,2019,9,0.5666666666666667,0.5666666666666667,a,4.36,13.2,-6.8,9.46,-0.75,6.83,0.08,85.5,84.1,97.2,47.6,74.33,66.33,54.75,-0.13,16,11,8,1
15,2019,10,1,1,a,1.52,10.1,-6.6,4.03,-0.91,4.72,0.05,92.9,92,99,58.4,63.61,48.35,34.35,-16.35,23,9,5,8
15,2019,11,1,1,a,-3.12,5.2,-23.6,-0.73,-6.06,3.7,0.04,95.9,95.2,99.8,70.1,11.33,3.32,0,-104.81,7,1,0,23
15,2019,12,0.5483870967741935,0.5483870967741935,a,-4.38,2.9,-24.5,-1.55,-8.61,2.6,0.03,95.8,95.2,99.8,76.5,3.42,0,0,-77.92,4,0,0,13
15,2020,1,1,1,a,-3.41,4.7,-27.9,-0.78,-6.39,4.97,0.05,93.7,93.3,99.9,62.3,11.32,0,0,-117.01,10,0,0,21
15,2020,2,1,1,a,-4.93,3.6,-27.3,-0.58,-9.79,6.31,0.07,92.2,89.6,98.6,43.5,9.55,0,0,-152.64,8,0,0,21
