site,year,month,day_frac_T1,day_frac_T2,day_frac_T3,day_frac_moist,T1_mean,T1_absmax,T1_absmin,T1_meanmax,T1_meanmin,T2_mean,T2_absmax,T2_absmin,T2_meanmax,T2_meanmin,T3_mean,T3_absmax,T3_absmin,T3_meanmax,T3_meanmin,moist_sd,moist_cv,moist_med,moist_mean,moist_absmax,moist_absmin,T1_TDD,T1_GDD3,T1_GDD5,T1_FDD,T1_TDD_days,T1_GDD3_days,T1_GDD5_days,T1_FDD_days,T2_TDD,T2_GDD3,T2_GDD5,T2_FDD,T2_TDD_days,T2_GDD3_days,T2_GDD5_days,T2_FDD_days,T3_TDD,T3_GDD3,T3_GDD5,T3_FDD,T3_TDD_days,T3_GDD3_days,T3_GDD5_days,T3_FDD_days
1,2021,2,1,1,1,0,0.14,0.31,0.06,0.15,0.13,-0,0.19,-0.12,0.01,-0.02,-1.44,-0.31,-2.18,-1.33,-1.55,NA,NA,NA,NA,NA,NA,3.92,0,0,0,28,0,0,0,0.56,0,0,-0.67,17,0,0,23,0,0,0,-40.42,0,0,0,28
1,2021,3,1,1,1,0,0.12,0.18,0.06,0.13,0.11,0.11,0.25,0,0.12,0.11,-0.66,-0.18,-1.56,-0.6,-0.73,NA,NA,NA,NA,NA,NA,3.62,0,0,0,31,0,0,0,3.55,0,0,0,31,0,0,6,0,0,0,-20.39,0,0,0,31
1,2021,4,1,1,1,0,0.32,0.56,0.18,0.34,0.3,0.39,0.5,0.25,0.4,0.38,-0.17,-0.06,-0.18,-0.15,-0.18,NA,NA,NA,NA,NA,NA,9.66,0,0,0,30,0,0,0,11.72,0,0,0,30,0,0,0,0,0,0,-5.2,0,0,0,30
1,2021,5,1,1,1,0.5806451612903226,4.29,10.43,0.31,4.8,3.87,5.43,17.31,0.38,7.34,3.96,6.5,29.13,-0.43,11.16,3.06,2.25,0.05,46.7,47.5,55.1,44.8,133.05,126.43,122.34,0,31,18,17,0,168.46,161.86,161.86,0,31,19,19,0,202.94,202.87,193.79,-1.38,21,20,18,10
1,2021,6,1,1,1,1,12.74,17.74,6.43,13.51,12.07,14.6,23.25,5.5,17.93,12.06,16.5,33.44,2.69,25.9,10.3,1.8,0.04,40.7,41.2,47.7,37.9,382.23,382.23,382.23,0,30,30,30,0,438.13,438.13,438.13,0,30,30,30,0,494.96,494.96,494.96,0,30,30,30,0
1,2021,7,1,1,1,1,15.34,18.18,11.68,15.97,14.75,16.67,23.06,9.62,19.42,14.27,17.66,32.82,5.94,24.84,12.41,5.86,0.22,25.1,26.5,38.5,19.8,475.67,475.67,475.67,0,31,31,31,0,516.63,516.63,516.63,0,31,31,31,0,547.54,547.54,547.54,0,31,31,31,0
1,2021,8,1,1,1,1,12.75,15.18,9.56,13.24,12.29,13.01,17.75,7.44,14.63,11.45,12.63,21.69,3.38,16.71,9.03,2.42,0.07,34,34,44.2,27.1,395.38,395.38,395.38,0,31,31,31,0,403.2,403.2,403.2,0,31,31,31,0,391.5,391.5,391.5,0,31,31,31,0
1,2021,9,1,1,1,1,7.56,11.18,4.81,7.96,7.18,7.15,11.75,2.44,8.47,5.78,5.94,13.44,-2.18,9.42,2.63,1.87,0.06,32.2,32.3,40.6,29.6,226.83,226.83,226.83,0,30,30,30,0,214.63,214.63,205.67,0,30,30,28,0,178.29,176.46,142.95,0,30,29,21,0
1,2021,10,0.16129032258064516,0.16129032258064516,0.16129032258064516,0.16129032258064516,6.92,7.31,6.49,7.17,6.71,7.06,8.56,5.56,7.94,6.24,6.8,11.69,2.82,9.56,4.43,0.53,0.02,32.1,32.3,35.5,31.7,34.6,34.6,34.6,0,5,5,5,0,35.28,35.28,35.28,0,5,5,5,0,34.02,34.02,34.02,0,5,5,5,0
3,2019,9,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,6.9,9.99,5.18,7.21,6.62,4.6,9.62,0.12,6.95,2.19,3.77,10.39,-2.86,7.66,-0,1.43,0.06,24.8,24.4,29.1,20.5,117.3,117.3,117.3,0,17,17,17,0,78.18,61.81,57.75,0,17,10,9,0,64.08,53.57,49.66,0,17,9,8,0
